image_index,algorithm,jpeg_quality,match_count,is_pass,read_time,write_time,encode_time,decode_time
000000,dwtDct,100,48,True,0.0298,0.0755,0.1268,0.1257
000000,dwtDct,95,27,False,0.0281,0.0285,0.1093,0.1012
000000,dwtDct,90,21,False,0.0278,0.0268,0.1087,0.1003
000000,dwtDct,80,21,False,0.0458,0.0265,0.1107,0.0956
000000,dwtDct,50,21,False,0.0278,0.0251,0.1074,0.0951
000000,dwtDct,10,21,False,0.0281,0.0258,0.1101,0.0895
000001,dwtDct,100,27,False,0.0260,0.1005,0.1092,0.1237
000001,dwtDct,95,27,False,0.0373,0.0283,0.1111,0.1004
000001,dwtDct,90,27,False,0.0252,0.0434,0.1081,0.1027
000001,dwtDct,80,27,False,0.0260,0.0249,0.1111,0.0945
000001,dwtDct,50,27,False,0.0253,0.0277,0.1086,0.0947
000001,dwtDct,10,27,False,0.0372,0.0238,0.1103,0.1090
000002,dwtDct,100,48,True,0.0273,0.1039,0.1079,0.1167
000002,dwtDct,95,26,False,0.0265,0.0277,0.1083,0.1001
000002,dwtDct,90,21,False,0.0390,0.0277,0.1105,0.0963
000002,dwtDct,80,21,False,0.0273,0.0294,0.1117,0.0972
000002,dwtDct,50,21,False,0.0265,0.0252,0.1108,0.0940
000002,dwtDct,10,21,False,0.0265,0.0321,0.1076,0.0941
000003,dwtDct,100,48,True,0.0387,0.0735,0.1097,0.1547
000003,dwtDct,95,21,False,0.0263,0.0282,0.1068,0.1033
000003,dwtDct,90,21,False,0.0264,0.0288,0.1117,0.0997
000003,dwtDct,80,21,False,0.0384,0.0267,0.1108,0.0992
000003,dwtDct,50,21,False,0.0268,0.0247,0.1082,0.0934
000003,dwtDct,10,21,False,0.0265,0.0247,0.1094,0.0912
000004,dwtDct,100,48,True,0.0308,0.1411,0.1069,0.1244
000004,dwtDct,95,44,True,0.0421,0.0302,0.1093,0.1017
000004,dwtDct,90,26,False,0.0304,0.0280,0.1067,0.1009
000004,dwtDct,80,26,False,0.0310,0.0278,0.1096,0.0971
000004,dwtDct,50,25,False,0.0305,0.0268,0.1078,0.0953
000004,dwtDct,10,23,False,0.0415,0.0252,0.1090,0.0927
000005,dwtDct,100,48,True,0.0305,0.0739,0.1066,0.1222
000005,dwtDct,95,48,True,0.0292,0.0317,0.1095,0.1357
000005,dwtDct,90,39,True,0.0427,0.0273,0.1067,0.1003
000005,dwtDct,80,28,False,0.0300,0.0307,0.1092,0.0959
000005,dwtDct,50,23,False,0.0296,0.0283,0.1079,0.0978
000005,dwtDct,10,23,False,0.0292,0.0242,0.1093,0.0922
000006,dwtDct,100,45,True,0.0388,0.0843,0.1079,0.1145
000006,dwtDct,95,43,True,0.0268,0.0293,0.1092,0.0965
000006,dwtDct,90,34,False,0.0268,0.0249,0.1101,0.0943
000006,dwtDct,80,30,False,0.0388,0.0321,0.1092,0.0955
000006,dwtDct,50,25,False,0.0268,0.0398,0.1110,0.0926
000006,dwtDct,10,27,False,0.0269,0.0247,0.1092,0.0906
000007,dwtDct,100,47,True,0.0274,0.0768,0.1094,0.1193
000007,dwtDct,95,39,True,0.0379,0.0265,0.1090,0.0981
000007,dwtDct,90,29,False,0.0267,0.0260,0.1100,0.0951
000007,dwtDct,80,22,False,0.0275,0.0340,0.1119,0.1008
000007,dwtDct,50,20,False,0.0270,0.0267,0.1114,0.0940
000007,dwtDct,10,20,False,0.0382,0.0287,0.1098,0.1014
000008,dwtDct,100,44,True,0.0253,0.1027,0.1116,0.1207
000008,dwtDct,95,41,True,0.0244,0.0257,0.1095,0.0991
000008,dwtDct,90,28,False,0.0360,0.0260,0.1110,0.0971
000008,dwtDct,80,21,False,0.0254,0.0252,0.1095,0.0957
000008,dwtDct,50,21,False,0.0291,0.0295,0.1110,0.0914
000008,dwtDct,10,17,False,0.0244,0.0304,0.1091,0.0913
000009,dwtDct,100,42,True,0.0405,0.0776,0.1107,0.1234
000009,dwtDct,95,45,True,0.0329,0.0291,0.1094,0.1034
000009,dwtDct,90,39,True,0.0283,0.0297,0.1112,0.0981
000009,dwtDct,80,39,True,0.0414,0.0306,0.1089,0.0965
000009,dwtDct,50,28,False,0.0283,0.0367,0.1111,0.0941
000009,dwtDct,10,25,False,0.0284,0.0287,0.1119,0.0944
000010,dwtDct,100,48,True,0.0418,0.0812,0.1109,0.1228
000010,dwtDct,95,21,False,0.0278,0.0310,0.1089,0.2056
000010,dwtDct,90,21,False,0.0278,0.0311,0.1112,0.0998
000010,dwtDct,80,21,False,0.0409,0.0267,0.1088,0.0978
000010,dwtDct,50,21,False,0.0280,0.0554,0.1110,0.0933
000010,dwtDct,10,21,False,0.0278,0.0255,0.1093,0.0930
000011,dwtDct,100,48,True,0.0390,0.0800,0.1111,0.1227
000011,dwtDct,95,38,True,0.0255,0.0286,0.1096,0.1023
000011,dwtDct,90,26,False,0.0255,0.0282,0.1113,0.0981
000011,dwtDct,80,22,False,0.0404,0.0434,0.1095,0.0973
000011,dwtDct,50,22,False,0.0255,0.0265,0.1111,0.0925
000011,dwtDct,10,21,False,0.0255,0.0322,0.1095,0.0955
000012,dwtDct,100,27,False,0.0287,0.0959,0.1109,0.1188
000012,dwtDct,95,28,False,0.0394,0.0302,0.1097,0.1008
000012,dwtDct,90,27,False,0.0280,0.0268,0.1114,0.0976
000012,dwtDct,80,27,False,0.0288,0.0283,0.1093,0.0961
000012,dwtDct,50,26,False,0.0410,0.0257,0.1112,0.0929
000012,dwtDct,10,27,False,0.0280,0.0262,0.1123,0.0927
000013,dwtDct,100,47,True,0.0269,0.0731,0.1113,0.1203
000013,dwtDct,95,48,True,0.0471,0.0283,0.1093,0.0992
000013,dwtDct,90,44,True,0.0262,0.0262,0.1113,0.0955
000013,dwtDct,80,37,True,0.0270,0.0301,0.1095,0.3579
000013,dwtDct,50,28,False,0.0434,0.0266,0.1112,0.0926
000013,dwtDct,10,27,False,0.0262,0.0341,0.1095,0.0919
000014,dwtDct,100,48,True,0.0262,0.0767,0.1111,0.1218
000014,dwtDct,95,39,True,0.0447,0.0291,0.1090,0.1007
000014,dwtDct,90,30,False,0.0252,0.0273,0.1108,0.0960
000014,dwtDct,80,28,False,0.0260,0.0256,0.1090,0.0965
000014,dwtDct,50,22,False,0.0283,0.0299,0.1109,0.0927
000014,dwtDct,10,21,False,0.0373,0.0248,0.1088,0.0916
000015,dwtDct,100,48,True,0.0268,0.0725,0.1107,0.1366
000015,dwtDct,95,40,True,0.0275,0.0344,0.1086,0.0997
000015,dwtDct,90,29,False,0.0376,0.0281,0.1108,0.0969
000015,dwtDct,80,26,False,0.0267,0.8121,0.1089,0.1326
000015,dwtDct,50,23,False,0.0385,0.0278,0.1108,0.0926
000015,dwtDct,10,19,False,0.0261,0.0327,0.1090,0.0925
000016,dwtDct,100,48,True,0.0313,0.0670,0.1111,0.1178
000016,dwtDct,95,21,False,0.0380,0.0279,0.1089,0.0982
000016,dwtDct,90,21,False,0.0257,0.0262,0.1107,0.0942
000016,dwtDct,80,21,False,0.0264,0.0248,0.1086,0.0952
000016,dwtDct,50,21,False,0.0336,0.0252,0.1109,0.0929
000016,dwtDct,10,21,False,0.0382,0.0255,0.1101,0.0909
000017,dwtDct,100,48,True,0.0271,0.0787,0.1103,0.1213
000017,dwtDct,95,21,False,0.0311,0.0300,0.1089,0.1080
000017,dwtDct,90,21,False,0.0381,0.0440,0.1105,0.1356
000017,dwtDct,80,21,False,0.0271,0.0271,0.1091,0.1011
000017,dwtDct,50,21,False,0.0309,2.3794,0.1109,1.1007
000017,dwtDct,10,21,False,0.0387,0.0280,0.1093,0.0945
000018,dwtDct,100,27,False,0.0265,0.0743,0.1121,0.1192
000018,dwtDct,95,27,False,0.0256,0.0440,0.1093,0.1009
000018,dwtDct,90,27,False,0.0385,0.0271,0.1113,0.0952
000018,dwtDct,80,27,False,0.0293,0.0252,0.1100,0.0962
000018,dwtDct,50,27,False,0.0256,0.0374,0.1118,0.0983
000018,dwtDct,10,27,False,0.0256,0.0241,0.1100,0.0915
000019,dwtDct,100,27,False,0.0436,0.0838,0.1116,0.1388
000019,dwtDct,95,22,False,0.0287,0.0507,0.1099,0.1056
000019,dwtDct,90,16,False,0.0287,0.0283,0.1114,0.0982
