image_index,algorithm,jpeg_quality,match_count,is_pass,read_time,write_time,encode_time,decode_time
000013,dwtDctSvdOptimized,10,21,False,0.0386,0.0183,0.0634,0.2201
000014,dwtDctSvdOptimized,100,48,True,0.0264,0.0759,0.0711,0.2729
000014,dwtDctSvdOptimized,95,48,True,0.0294,0.0229,0.0650,0.2492
000014,dwtDctSvdOptimized,90,48,True,0.0365,0.0234,0.0649,0.2479
000014,dwtDctSvdOptimized,80,48,True,0.0258,0.0329,0.0640,0.2490
000014,dwtDctSvdOptimized,50,44,True,0.0250,0.0200,0.0693,0.2404
000014,dwtDctSvdOptimized,10,21,False,0.0364,0.0185,0.0653,0.2263
000015,dwtDctSvdOptimized,100,48,True,0.0314,0.0754,0.0657,0.2724
000015,dwtDctSvdOptimized,95,48,True,0.0258,0.0220,0.0662,0.2487
000015,dwtDctSvdOptimized,90,48,True,0.0523,0.0211,0.0671,0.2458
000015,dwtDctSvdOptimized,80,48,True,0.0266,0.0218,0.0620,0.2478
000015,dwtDctSvdOptimized,50,46,True,0.0258,0.0207,0.0623,0.2369
000015,dwtDctSvdOptimized,10,21,False,0.0485,0.0185,0.0641,0.2239
000016,dwtDctSvdOptimized,100,48,True,0.0270,0.0693,0.0638,0.2596
000016,dwtDctSvdOptimized,95,48,True,0.0255,0.0275,0.0607,0.2460
000016,dwtDctSvdOptimized,90,48,True,0.0377,0.0520,0.0649,0.2490
000016,dwtDctSvdOptimized,80,48,True,0.0261,0.0228,0.0613,0.2238
000016,dwtDctSvdOptimized,50,23,False,0.0299,0.0192,0.0604,0.2085
000016,dwtDctSvdOptimized,10,21,False,0.0505,0.0240,0.0823,0.2013
000017,dwtDctSvdOptimized,100,48,True,0.0277,0.0795,0.1139,0.2817
000017,dwtDctSvdOptimized,95,48,True,0.0262,0.0247,0.0626,0.2324
000017,dwtDctSvdOptimized,90,48,True,0.0402,0.0272,0.0632,0.2315
000017,dwtDctSvdOptimized,80,48,True,0.0315,0.0237,0.0622,0.2255
000017,dwtDctSvdOptimized,50,21,False,0.0262,0.0209,0.0619,0.1983
000017,dwtDctSvdOptimized,10,21,False,0.0385,0.0189,0.0627,0.1905
000018,dwtDctSvdOptimized,100,48,True,0.0309,0.0720,0.0674,0.2609
000018,dwtDctSvdOptimized,95,48,True,0.0254,0.0228,0.0651,0.2300
000018,dwtDctSvdOptimized,90,48,True,0.0370,0.0259,0.0666,0.2262
000018,dwtDctSvdOptimized,80,48,True,0.0263,0.0214,0.0646,0.2260
000018,dwtDctSvdOptimized,50,39,True,0.0253,0.0200,0.0636,0.2139
000018,dwtDctSvdOptimized,10,27,False,0.0407,0.0187,0.0648,0.2051
000019,dwtDctSvdOptimized,100,48,True,0.0299,0.0927,0.0690,0.2626
000019,dwtDctSvdOptimized,95,48,True,0.0285,0.0304,0.0657,0.2346
000019,dwtDctSvdOptimized,90,48,True,0.0401,0.0229,0.0649,0.2302
000019,dwtDctSvdOptimized,80,48,True,0.0293,0.0217,0.0641,0.2301
000019,dwtDctSvdOptimized,50,46,True,0.0329,0.0203,0.0638,0.2182
000019,dwtDctSvdOptimized,10,13,False,0.0403,0.0273,0.0654,0.2079
000020,dwtDctSvdOptimized,100,48,True,0.0282,0.0734,0.0681,0.2560
000020,dwtDctSvdOptimized,95,48,True,0.0268,0.0210,0.0656,0.2280
000020,dwtDctSvdOptimized,90,48,True,0.0390,0.0217,0.0653,0.2279
000020,dwtDctSvdOptimized,80,48,True,0.0363,0.0198,0.0639,0.2248
000020,dwtDctSvdOptimized,50,42,True,0.0268,0.0199,0.0644,0.2132
000020,dwtDctSvdOptimized,10,21,False,0.0386,0.0181,0.0655,0.1967
000021,dwtDctSvdOptimized,100,48,True,0.0311,0.0764,0.0640,0.2566
000021,dwtDctSvdOptimized,95,48,True,0.0261,0.0218,0.0697,0.2322
000021,dwtDctSvdOptimized,90,48,True,0.0391,0.0278,0.0647,0.2286
000021,dwtDctSvdOptimized,80,48,True,0.0269,0.0217,0.0634,0.2359
000021,dwtDctSvdOptimized,50,43,True,0.0261,0.0201,0.0659,0.2160
000021,dwtDctSvdOptimized,10,21,False,0.0436,0.0184,0.0650,0.2031
000022,dwtDctSvdOptimized,100,48,True,0.0266,0.0766,0.0623,0.2477
000022,dwtDctSvdOptimized,95,48,True,0.0257,0.0237,0.0595,0.2308
000022,dwtDctSvdOptimized,90,48,True,0.0411,0.0244,0.0594,0.2256
000022,dwtDctSvdOptimized,80,48,True,0.0264,0.0211,0.0593,0.2234
000022,dwtDctSvdOptimized,50,21,False,0.0300,0.0206,0.0589,0.2050
000022,dwtDctSvdOptimized,10,21,False,0.0432,0.0188,0.0593,0.1910
000023,dwtDctSvdOptimized,100,48,True,0.0268,0.0722,0.0630,0.2683
000023,dwtDctSvdOptimized,95,48,True,0.0303,0.0211,0.0622,0.2516
000023,dwtDctSvdOptimized,90,48,True,0.0427,0.0203,0.0629,0.2462
000023,dwtDctSvdOptimized,80,48,True,0.0269,0.0298,0.0648,0.2428
000023,dwtDctSvdOptimized,50,40,True,0.0260,0.0346,0.0645,0.2351
000023,dwtDctSvdOptimized,10,21,False,0.0392,0.0191,0.0633,0.2211
000024,dwtDctSvdOptimized,100,48,True,0.0348,0.0726,0.0665,0.2968
000024,dwtDctSvdOptimized,95,48,True,0.0270,0.0219,0.0683,0.2567
000024,dwtDctSvdOptimized,90,48,True,0.0390,0.0231,0.0653,0.2495
000024,dwtDctSvdOptimized,80,48,True,0.0278,0.0206,0.0668,0.2437
000024,dwtDctSvdOptimized,50,48,True,0.0269,0.0216,0.0658,0.2429
000024,dwtDctSvdOptimized,10,21,False,0.0431,0.0190,0.0684,0.2299
000025,dwtDctSvdOptimized,100,48,True,0.0280,0.0834,0.0648,0.2753
000025,dwtDctSvdOptimized,95,48,True,0.0271,0.0227,0.0670,0.2541
000025,dwtDctSvdOptimized,90,48,True,0.0386,0.0217,0.0640,0.2451
000025,dwtDctSvdOptimized,80,48,True,0.0301,0.0218,0.0643,0.2480
000025,dwtDctSvdOptimized,50,41,True,0.0326,0.0201,0.0648,0.2196
000025,dwtDctSvdOptimized,10,21,False,0.0561,0.0190,0.0649,0.2027
000026,dwtDctSvdOptimized,100,48,True,0.0289,0.0823,0.0656,0.2612
000026,dwtDctSvdOptimized,95,48,True,0.0280,0.0223,0.0654,0.2353
000026,dwtDctSvdOptimized,90,48,True,0.0427,0.0217,0.0670,0.2354
000026,dwtDctSvdOptimized,80,48,True,0.0331,0.0207,0.0645,0.2324
000026,dwtDctSvdOptimized,50,47,True,0.0280,0.0199,0.0645,0.2276
000026,dwtDctSvdOptimized,10,21,False,0.0418,0.0187,0.0663,0.2133
000027,dwtDctSvdOptimized,100,48,True,0.0314,0.0754,0.0650,0.2576
000027,dwtDctSvdOptimized,95,48,True,0.0263,0.0226,0.0639,0.2311
000027,dwtDctSvdOptimized,90,48,True,0.0381,0.0216,0.0629,0.2396
000027,dwtDctSvdOptimized,80,48,True,0.0271,0.0209,0.0654,0.2293
000027,dwtDctSvdOptimized,50,46,True,0.0263,0.0201,0.0647,0.2211
000027,dwtDctSvdOptimized,10,21,False,0.0429,0.0185,0.0669,0.2029
000028,dwtDctSvdOptimized,100,48,True,0.0287,0.0775,0.0646,0.2642
000028,dwtDctSvdOptimized,95,48,True,0.0299,0.0298,0.0658,0.2382
000028,dwtDctSvdOptimized,90,48,True,0.0402,0.0361,0.0641,0.2326
000028,dwtDctSvdOptimized,80,48,True,0.0288,0.0244,0.0652,0.2301
000028,dwtDctSvdOptimized,50,46,True,0.0327,0.0202,0.0635,0.2228
000028,dwtDctSvdOptimized,10,21,False,0.0395,0.0187,0.0642,0.2077
000029,dwtDctSvdOptimized,100,48,True,0.0267,0.0712,0.0621,0.2553
000029,dwtDctSvdOptimized,95,48,True,0.0259,0.0236,0.0645,0.2347
000029,dwtDctSvdOptimized,90,48,True,0.0373,0.0216,0.0619,0.2306
000029,dwtDctSvdOptimized,80,48,True,0.0315,0.0199,0.0628,0.2314
000029,dwtDctSvdOptimized,50,23,False,0.0258,0.0194,0.0649,0.2199
000029,dwtDctSvdOptimized,10,21,False,0.0376,0.0186,0.0623,0.2041
